;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Mass density, kg/m3;Mass density, kg/m3_std
15493;j.jct.2004.10.011;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;328.15;26450.0;856.3;0.1
15494;j.jct.2004.10.011;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;328.15;28470.0;857.8;0.1
15495;j.jct.2004.10.011;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;328.15;29490.0;858.5;0.1
15496;j.jct.2004.10.011;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;328.15;30500.0;859.3;0.1
15497;j.jct.2004.10.011;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;328.15;32530.0;860.7;0.1
15498;j.jct.2004.10.011;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;328.15;34550.0;862.1;0.1
15499;j.jct.2004.10.011;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;328.15;36580.0;863.5;0.1
15500;j.jct.2004.10.011;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;328.15;38600.0;864.9;0.1
15501;j.jct.2004.10.011;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;328.15;39620.0;865.5;0.1
18445;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.3;998.203;0.005
18446;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.3;997.043;0.005
18447;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.3;995.645;0.005
18448;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.3;994.029;0.005
18449;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.3;992.212;0.005
18450;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.3;990.208;0.005
18451;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;323.15;101.3;988.03;0.005
18452;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;328.15;101.3;985.688;0.005
18453;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;333.15;101.3;983.191;0.005
18454;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;338.15;101.3;980.546;0.005
18455;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;343.15;101.3;977.759;0.005
18456;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;348.15;101.3;974.838;0.005
18457;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;353.15;101.3;971.785;0.005
18458;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;358.15;101.3;968.606;0.005
18459;j.jct.2004.11.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;363.15;101.3;965.305;0.005
19709;j.jct.2004.12.002;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.22;101.0;789.54;0.05
19710;j.jct.2004.12.002;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.16;101.0;785.46;0.05
19711;j.jct.2004.12.002;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.17;101.0;781.05;0.05
19712;j.jct.2004.12.002;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;308.17;101.0;776.75;0.05
19713;j.jct.2004.12.002;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.17;101.0;772.42;0.05
19714;j.jct.2004.12.002;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;318.18;101.0;768.0;0.05
19715;j.jct.2004.12.002;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;293.22;101.0;683.82;0.05
19716;j.jct.2004.12.002;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.16;101.0;679.75;0.05
19717;j.jct.2004.12.002;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.17;101.0;675.51;0.05
19718;j.jct.2004.12.002;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.17;101.0;671.21;0.05
19719;j.jct.2004.12.002;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.17;101.0;666.97;0.05
19720;j.jct.2004.12.002;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.18;101.0;662.67;0.05
