,filename,components,smiles,"Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
14017,j.jct.2004.10.001,ethanol,CCO,,,1351.95,,,,,,,,,,,
14018,j.jct.2004.10.001,ethanol,CCO,,,1349.23,,,,,,,,,,,
14019,j.jct.2004.10.001,ethanol,CCO,,,1284.01,,,,,,,,,,,
14020,j.jct.2004.10.001,ethanol,CCO,,,1280.48,,,,,,,,,,,
14021,j.jct.2004.10.001,ethanol,CCO,,,1205.9,,,,,,,,,,,
14022,j.jct.2004.10.001,ethanol,CCO,,,1204.23,,,,,,,,,,,
14023,j.jct.2004.10.001,ethanol,CCO,,,1511.19,,,,,,,,,,,
14024,j.jct.2004.10.001,ethanol,CCO,,,1509.5,,,,,,,,,,,
14025,j.jct.2004.10.001,ethanol,CCO,,,1458.42,,,,,,,,,,,
14026,j.jct.2004.10.001,ethanol,CCO,,,1456.15,,,,,,,,,,,
14027,j.jct.2004.10.001,ethanol,CCO,,,1400.71,,,,,,,,,,,
14028,j.jct.2004.10.001,ethanol,CCO,,,1399.78,,,,,,,,,,,
14029,j.jct.2004.10.001,ethanol,CCO,,,1338.29,,,,,,,,,,,
14030,j.jct.2004.10.001,ethanol,CCO,,,1336.96,,,,,,,,,,,
14031,j.jct.2004.10.001,ethanol,CCO,,,1269.78,,,,,,,,,,,
14032,j.jct.2004.10.001,ethanol,CCO,,,1267.31,,,,,,,,,,,
14033,j.jct.2004.10.001,ethanol,CCO,,,1190.83,,,,,,,,,,,
14034,j.jct.2004.10.001,ethanol,CCO,,,1189.52,,,,,,,,,,,
14035,j.jct.2004.10.001,ethanol,CCO,,,1500.49,,,,,,,,,,,
14036,j.jct.2004.10.001,ethanol,CCO,,,1498.35,,,,,,,,,,,
14037,j.jct.2004.10.001,ethanol,CCO,,,1446.87,,,,,,,,,,,
