,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary
172,"1-propanol__1,3-propanediol",66.0,0.0,66.0,0.0,0.0,0.0,0.0
173,"1,3,5-trimethylbenzene__octane",64.0,0.0,0.0,0.0,0.0,0.0,0.0
174,methanol__cyclohexane,64.0,0.0,0.0,0.0,0.0,0.0,0.0
175,"1,3-dimethylbenzene__octane",64.0,0.0,0.0,0.0,0.0,0.0,0.0
176,octane__methyl tert-butyl ether,64.0,0.0,65.0,0.0,0.0,0.0,0.0
177,1-propanol__cyclopentane,63.0,0.0,39.0,0.0,0.0,0.0,0.0
178,ethanol__2-methyl-2-propanol,63.0,0.0,0.0,0.0,0.0,0.0,0.0
179,1-butanol__2-(2-methoxyethoxy)ethanol,63.0,0.0,63.0,0.0,0.0,0.0,0.0
180,2-phenylethanol__benzyl alcohol,63.0,0.0,0.0,0.0,0.0,0.0,0.0
181,"2,2,4-trimethylpentane__1,3-dioxolane",63.0,0.0,0.0,0.0,0.0,0.0,0.0
182,2-propanol__benzyl alcohol,63.0,0.0,0.0,0.0,0.0,0.0,0.0
183,"2-methyl-2-propanol__2,2,4-trimethylpentane",63.0,0.0,0.0,0.0,0.0,0.0,0.0
184,ethanol__methanol,63.0,0.0,0.0,105.0,76.0,0.0,0.0
185,2-methoxyethanol__2-(2-methoxyethoxy)ethanol,61.0,0.0,61.0,0.0,0.0,0.0,0.0
186,1-butanol__hexane,60.0,0.0,60.0,0.0,23.0,0.0,31.0
187,"1,2-dihydroxypropane__n-propyl alcohol",60.0,0.0,0.0,0.0,0.0,0.0,0.0
188,ethanol__n-decane,60.0,0.0,0.0,0.0,0.0,0.0,0.0
189,"1-butanol__3,6-dioxa-1-octanol",60.0,0.0,60.0,0.0,0.0,0.0,0.0
190,"1,4-dimethylbenzene__methylcyclohexane",59.0,0.0,37.0,0.0,0.0,0.0,0.0
191,"1,3,5-trimethylbenzene__methylcyclohexane",59.0,0.0,37.0,0.0,0.0,0.0,0.0
192,2-methoxyethanol__2-butoxyethanol,57.0,0.0,57.0,0.0,0.0,0.0,0.0
193,toluene__methyl tert-butyl ether,57.0,0.0,46.0,0.0,0.0,0.0,0.0
194,n-propanol__water,56.0,0.0,0.0,0.0,0.0,0.0,0.0
195,1-pentanol__dibutyl ether,56.0,0.0,56.0,0.0,19.0,0.0,0.0
196,"1-hexanol__1,4-dioxane",56.0,0.0,0.0,0.0,0.0,0.0,0.0
197,1-octanol__dibutyl ether,56.0,0.0,56.0,0.0,22.0,0.0,0.0
198,"1,4-dimethylbenzene__pentylcarbinol",55.0,0.0,0.0,0.0,0.0,0.0,0.0
