;Component;SMILES;Count dens pure;Count cpmol pure;Count sos pure;Count dielec pure;Count hmol pure;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all
130;ETHANE;CC;25.0;0.0;0.0;0.0;0.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0
135;3-Methylbutan-2-ol;CC(C)C(C)O;0.0;30.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;40.0
139;2-propan-2-yloxyethanol;CC(C)OCCO;1.0;0.0;1.0;0.0;0.0;18.0;0.0;18.0;0.0;0.0;0.0;0.0;38.0
146;Pentane;CCCCC;15.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;21.0
147;PROPANE;CCC;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
149;methane;C;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0
152;1-Ethoxypropan-2-ol;CCOCC(C)O;5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
155;1-ethoxybutane;CCCCOCC;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0
158;Methylcyclopentane;CC1CCCC1;3.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0
160;Cycloheptane;C1CCCCCC1;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
168;1,1-Diethoxyethane;CCOC(C)OCC;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
172;4-Methylpentan-2-ol;CC(C)CC(C)O;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
173;2-Methylpentan-1-ol;CCCC(C)CO;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
174;2-Methylpentan-2-ol;CCCC(C)(C)O;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
