,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Excess molar heat capacity, J/K/mol","Excess molar heat capacity, J/K/mol_std"
644234,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.12445,1.16,0.2
644235,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.14906,0.94,0.2
644236,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.17311,0.76,0.2
644237,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.29027,-0.72,0.2
644238,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.40764,-1.26,0.2
644239,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.46407,-1.33,0.2
644240,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.60656,-1.31,0.2
644241,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.69588,-1.2,0.2
644242,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.804,-0.93,0.2
644243,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.84631,-0.75,0.2
644244,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.93949,-0.42,0.2
644245,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.00991,0.3,0.2
644246,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.02619,0.79,0.2
644247,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.04637,1.25,0.2
644248,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.07516,1.72,0.2
644249,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.12445,1.91,0.2
644250,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.14906,1.76,0.2
644251,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.17311,1.68,0.2
644252,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.29027,0.61,0.2
644253,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.40764,0.05,0.2
644254,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.46407,-0.12,0.2
644255,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.60656,-0.35,0.2
644256,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.69588,-0.43,0.2
644257,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.804,-0.36,0.2
644258,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.84631,-0.36,0.2
644259,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.93949,-0.19,0.2
644260,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.00991,0.26,0.2
644261,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.02619,0.76,0.2
644262,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.04637,1.33,0.2
644263,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.07516,1.85,0.2
644264,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.09514,1.99,0.2
644265,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.12445,2.17,0.2
644266,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.14906,2.08,0.2
644267,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.17311,2.01,0.2
644268,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.29027,1.14,0.2
644269,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.40764,0.54,0.2
644270,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.46407,0.35,0.2
644271,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.60656,0.02,0.2
644272,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.69588,-0.12,0.2
644273,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.804,-0.2,0.2
644274,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.84631,-0.22,0.2
644275,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.93949,-0.19,0.2
644276,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.00991,0.26,0.2
644277,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.02619,0.75,0.2
644278,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.04637,1.39,0.2
644279,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.07516,1.96,0.2
