,filename,components,smiles,"Temperature, K","Pressure, kPa","Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
13990,j.jct.2004.10.001,ethanol,CCO,298.22,75690.0,,,1491.29,,,,,,,,,,,
13991,j.jct.2004.10.001,ethanol,CCO,298.22,61220.0,,,1438.49,,,,,,,,,,,
13992,j.jct.2004.10.001,ethanol,CCO,298.22,60330.0,,,1435.06,,,,,,,,,,,
13993,j.jct.2004.10.001,ethanol,CCO,298.22,45830.0,,,1377.32,,,,,,,,,,,
13994,j.jct.2004.10.001,ethanol,CCO,298.22,45380.0,,,1375.51,,,,,,,,,,,
13995,j.jct.2004.10.001,ethanol,CCO,298.21,30740.0,,,1311.45,,,,,,,,,,,
13996,j.jct.2004.10.001,ethanol,CCO,298.21,30120.0,,,1308.59,,,,,,,,,,,
13997,j.jct.2004.10.001,ethanol,CCO,298.2,15870.0,,,1238.89,,,,,,,,,,,
13998,j.jct.2004.10.001,ethanol,CCO,298.2,15040.0,,,1234.66,,,,,,,,,,,
13999,j.jct.2004.10.001,ethanol,CCO,303.17,91290.0,,,1532.78,,,,,,,,,,,
14000,j.jct.2004.10.001,ethanol,CCO,303.17,91120.0,,,1532.29,,,,,,,,,,,
14001,j.jct.2004.10.001,ethanol,CCO,303.16,76310.0,,,1481.74,,,,,,,,,,,
14002,j.jct.2004.10.001,ethanol,CCO,303.16,75770.0,,,1479.89,,,,,,,,,,,
14003,j.jct.2004.10.001,ethanol,CCO,303.16,61210.0,,,1426.21,,,,,,,,,,,
14004,j.jct.2004.10.001,ethanol,CCO,303.16,60390.0,,,1423.15,,,,,,,,,,,
14005,j.jct.2004.10.001,ethanol,CCO,303.15,45880.0,,,1364.72,,,,,,,,,,,
14006,j.jct.2004.10.001,ethanol,CCO,303.15,45380.0,,,1362.61,,,,,,,,,,,
14007,j.jct.2004.10.001,ethanol,CCO,303.16,30670.0,,,1297.28,,,,,,,,,,,
14008,j.jct.2004.10.001,ethanol,CCO,303.16,30180.0,,,1295.0,,,,,,,,,,,
14009,j.jct.2004.10.001,ethanol,CCO,303.21,15390.0,,,1221.13,,,,,,,,,,,
14010,j.jct.2004.10.001,ethanol,CCO,303.21,14980.0,,,1219.01,,,,,,,,,,,
14011,j.jct.2004.10.001,ethanol,CCO,308.21,91540.0,,,1522.49,,,,,,,,,,,
14012,j.jct.2004.10.001,ethanol,CCO,308.21,90850.0,,,1520.16,,,,,,,,,,,
14013,j.jct.2004.10.001,ethanol,CCO,308.22,76160.0,,,1469.46,,,,,,,,,,,
14014,j.jct.2004.10.001,ethanol,CCO,308.22,75820.0,,,1468.28,,,,,,,,,,,
14015,j.jct.2004.10.001,ethanol,CCO,308.21,61180.0,,,1413.77,,,,,,,,,,,
14016,j.jct.2004.10.001,ethanol,CCO,308.21,60460.0,,,1410.96,,,,,,,,,,,
14017,j.jct.2004.10.001,ethanol,CCO,308.22,45940.0,,,1351.95,,,,,,,,,,,
14018,j.jct.2004.10.001,ethanol,CCO,308.22,45310.0,,,1349.23,,,,,,,,,,,
14019,j.jct.2004.10.001,ethanol,CCO,308.21,30810.0,,,1284.01,,,,,,,,,,,
14020,j.jct.2004.10.001,ethanol,CCO,308.21,30060.0,,,1280.48,,,,,,,,,,,
14021,j.jct.2004.10.001,ethanol,CCO,308.21,15340.0,,,1205.9,,,,,,,,,,,
14022,j.jct.2004.10.001,ethanol,CCO,308.21,15040.0,,,1204.23,,,,,,,,,,,
14023,j.jct.2004.10.001,ethanol,CCO,313.14,91420.0,,,1511.19,,,,,,,,,,,
14024,j.jct.2004.10.001,ethanol,CCO,313.14,90960.0,,,1509.5,,,,,,,,,,,
14025,j.jct.2004.10.001,ethanol,CCO,313.13,76230.0,,,1458.42,,,,,,,,,,,
14026,j.jct.2004.10.001,ethanol,CCO,313.13,75590.0,,,1456.15,,,,,,,,,,,
14027,j.jct.2004.10.001,ethanol,CCO,313.15,60900.0,,,1400.71,,,,,,,,,,,
14028,j.jct.2004.10.001,ethanol,CCO,313.15,60650.0,,,1399.78,,,,,,,,,,,
14029,j.jct.2004.10.001,ethanol,CCO,313.13,45710.0,,,1338.29,,,,,,,,,,,
14030,j.jct.2004.10.001,ethanol,CCO,313.13,45400.0,,,1336.96,,,,,,,,,,,
14031,j.jct.2004.10.001,ethanol,CCO,313.13,30650.0,,,1269.78,,,,,,,,,,,
14032,j.jct.2004.10.001,ethanol,CCO,313.13,30130.0,,,1267.31,,,,,,,,,,,
14033,j.jct.2004.10.001,ethanol,CCO,313.13,15290.0,,,1190.83,,,,,,,,,,,
14034,j.jct.2004.10.001,ethanol,CCO,313.13,15040.0,,,1189.52,,,,,,,,,,,
14035,j.jct.2004.10.001,ethanol,CCO,318.16,91490.0,,,1500.49,,,,,,,,,,,
14036,j.jct.2004.10.001,ethanol,CCO,318.16,90860.0,,,1498.35,,,,,,,,,,,
14037,j.jct.2004.10.001,ethanol,CCO,318.2,76240.0,,,1446.87,,,,,,,,,,,
14038,j.jct.2004.10.001,ethanol,CCO,318.2,75730.0,,,1445.0,,,,,,,,,,,
