,filename,components,smiles,"Speed of sound, m/s","Speed of sound, m/s_std"
53757,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1331.0,1.331
53758,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1380.2,1.3802
53759,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1425.8,1.4258
53760,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1468.5,1.4685
53761,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1508.9,1.5089
53762,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1547.2,1.5472
53763,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1583.6,1.5836
53764,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1618.6,1.6186
53766,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1182.2,1.1822
53767,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1243.1,1.2431
53768,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1298.2,1.2982
53769,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1348.6,1.3486
53770,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1395.9,1.3959
53771,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1439.4,1.4394
53772,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1480.7,1.4807
53773,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1519.8,1.5198
53774,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1556.9,1.5569
53775,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1592.2,1.5922
53777,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1146.9,1.1469
53778,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1209.7,1.2097
53779,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1266.6,1.2666
53780,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1318.2,1.3182
53781,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1366.4,1.3664
53782,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1411.1,1.4111
53783,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1453.1,1.4531
53784,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1492.9,1.4929
53785,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1530.7,1.5307
53786,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1566.6,1.5666
53788,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1110.4,1.1104
53789,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1176.2,1.1762
53790,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1234.1,1.2341
53791,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1287.8,1.2878
53792,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1337.3,1.3373
53793,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1383.1,1.3831
53794,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1425.8,1.4258
53795,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1466.6,1.4666
53796,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1505.0,1.505
53797,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1541.4,1.5414
53799,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1075.3,1.0753
53800,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1143.2,1.1432
53801,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1203.5,1.2035
53802,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1258.2,1.2582
53803,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1308.3,1.3083
53804,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1355.1,1.3551
53805,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1399.6,1.3996
53806,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1440.8,1.4408
53807,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1479.7,1.4797
53808,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1516.9,1.5169
53810,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1038.9,1.0389
53811,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1109.6,1.1096
53812,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1171.5,1.1715
53813,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1228.3,1.2283
53814,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1280.1,1.2801
53815,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1328.2,1.3282
53816,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1373.1,1.3731
53817,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1415.0,1.415
53818,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1454.6,1.4546
53819,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1492.5,1.4925
55403,j.jct.2005.10.009,heptane,CCCCCCC,1151.92,0.5
